record_type,item_id,item_version,locale,candidate_fingerprint,technical_or_decision_name,semantic_contract,primary_text,explanation_or_tip,example,workflow_effect_or_options,candidate_status,reviewer_name,reviewer_decision,reviewed_at_rfc3339,evidence_reference,reviewer_comments
"concept","copilot.request.initiator_policy","1.0","zh-Hans","fnv1a64:4a149e693daab18d","request_initiator_policy","controls.who_can_start | may_use.directory_roles","谁可发起申请","这项设置决定所有员工都可提交，还是只有指定职位的员工可提交新申请。","只有采购经理和财务专员可以发起申请。","它控制谁可使用申请表单，不会决定之后由谁审批。","approved","","","","",""
"concept","copilot.request.fields","1.0","en","fnv1a64:4a149e693daab18d","request_form_fields","collects.request_data | supports.conditions","Information on the request form","These are the details a requester must enter so reviewers can understand and decide the request.","Supplier name, amount, cost centre, and payment date","The fields appear on the request form and may also be used by routing rules.","approved","","","","",""
"concept","copilot.request.fields","1.0","zh-Hant","fnv1a64:4a149e693daab18d","request_form_fields","collects.request_data | supports.conditions","申請表格資料","這些是申請人必須填寫的資料，讓審批人了解申請並作出決定。","供應商名稱、金額、成本中心及付款日期","這些欄位會顯示在申請表格，亦可供流程規則使用。","approved","","","","",""
"concept","copilot.request.fields","1.0","zh-Hans","fnv1a64:4a149e693daab18d","request_form_fields","collects.request_data | supports.conditions","申请表单信息","这些是申请人必须填写的信息，让审批人了解申请并作出决定。","供应商名称、金额、成本中心和付款日期","这些字段会显示在申请表单，也可供流程规则使用。","approved","","","","",""
"concept","copilot.attachments.requirements","1.0","en","fnv1a64:4a149e693daab18d","attachment_requirements","collects.files | collects.forms | may_bind.stage","Files and in-app forms","This lists the documents, uploads, or in-app forms a requester or contributor must provide.","Require a supplier quotation in PDF format and an in-app declaration form before the Finance review.","It controls which files or forms are requested, whether they are mandatory, how many are needed, and when they must be provided.","approved","","","","",""
"concept","copilot.attachments.requirements","1.0","zh-Hant","fnv1a64:4a149e693daab18d","attachment_requirements","collects.files | collects.forms | may_bind.stage","檔案及應用程式內表格","這項設定列出申請人或協作者必須提供的文件、上載檔案或應用程式內表格。","在財務審閱前，必須提供一份 PDF 供應商報價單及填寫應用程式內聲明表格。","它控制需要哪些檔案或表格、是否必交、所需數量，以及須在哪個步驟前提供。","approved","","","","",""
"concept","copilot.attachments.requirements","1.0","zh-Hans","fnv1a64:4a149e693daab18d","attachment_requirements","collects.files | collects.forms | may_bind.stage","文件及应用内表单","这项设置列出申请人或协作者必须提供的文档、上传文件或应用内表单。","在财务审核前，必须提供一份 PDF 供应商报价单并填写应用内声明表单。","它控制需要哪些文件或表单、是否必交、所需数量，以及须在哪个步骤前提供。","approved","","","","",""
"concept","copilot.workflow.stages","1.0","en","fnv1a64:4a149e693daab18d","ordered_workflow_stages","orders.actions | may_run.parallel | resolves.participants","Steps and people","These are the actions and responsible people in the process. Steps usually happen in order, while independent steps may happen at the same time.","The manager and Finance review at the same time; the Director approves after both finish.","The sequence, any same-time groups, and each person-setting decide who receives the request and when.","approved","","","","",""
"concept","copilot.workflow.stages","1.0","zh-Hant","fnv1a64:4a149e693daab18d","ordered_workflow_stages","orders.actions | may_run.parallel | resolves.participants","步驟及處理人","這些是流程中的工作及負責人。步驟通常按次序進行，互不依賴的步驟亦可同時進行。","經理及財務部同時審閱；兩者完成後再由董事批准。","步驟次序、同時進行的組別及處理人設定，會決定誰在何時收到申請。","approved","","","","",""
"concept","copilot.workflow.stages","1.0","zh-Hans","fnv1a64:4a149e693daab18d","ordered_workflow_stages","orders.actions | may_run.parallel | resolves.participants","步骤及处理人","这些是流程中的工作及负责人。步骤通常按顺序进行，互不依赖的步骤也可同时进行。","经理及财务部门同时审核；两者完成后再由总监批准。","步骤顺序、同时进行的分组及处理人设置，会决定谁在何时收到申请。","approved","","","","",""
"concept","copilot.workflow.conditions","1.0","en","fnv1a64:4a149e693daab18d","conditional_workflow_routes","compares.request_field | selects.route","Rules for different requests","A rule checks one item on the request and sends matching requests along a specified path.","If Amount is at least HK$10,000, send the request to Finance; otherwise continue to the manager.","It changes the path only when the stated check matches; every rule also needs a clear other path.","approved","","","","",""
"concept","copilot.workflow.conditions","1.0","zh-Hant","fnv1a64:4a149e693daab18d","conditional_workflow_routes","compares.request_field | selects.route","不同申請的處理規則","規則會檢查申請內的一項資料，並把符合條件的申請送到指定處理路徑。","若金額不少於 HK$10,000，先交財務部；否則繼續交經理。","只有符合指定檢查時才會改變路徑；每項規則亦須清楚列出其他申請的處理方式。","approved","","","","",""
"concept","copilot.workflow.conditions","1.0","zh-Hans","fnv1a64:4a149e693daab18d","conditional_workflow_routes","compares.request_field | selects.route","不同申请的处理规则","规则会检查申请中的一项信息，并把符合条件的申请送到指定处理路径。","若金额不少于 HK$10,000，先交财务部门；否则继续交经理。","只有符合指定检查时才会改变路径；每项规则也须清楚列出其他申请的处理方式。","approved","","","","",""
"concept","copilot.workflow.rejection_policy","1.0","en","fnv1a64:4a149e693daab18d","rejection_outcome_policy","controls.rejection_outcome | may_allow.correction","What happens after rejection","This decides whether a rejected request ends or returns so the requester can correct and resubmit it.","Return the request to the requester with comments, then send the corrected request back to the same reviewer.","It controls the next state and route after someone rejects the request.","approved","","","","",""
"concept","copilot.workflow.rejection_policy","1.0","zh-Hant","fnv1a64:4a149e693daab18d","rejection_outcome_policy","controls.rejection_outcome | may_allow.correction","申請被拒後如何處理","這項設定決定被拒申請會結束，還是退回讓申請人更正後再提交。","連同意見退回申請人；更正後再交回同一位審批人。","它控制申請被拒後的狀態及下一個處理路徑。","approved","","","","",""
"concept","copilot.workflow.rejection_policy","1.0","zh-Hans","fnv1a64:4a149e693daab18d","rejection_outcome_policy","controls.rejection_outcome | may_allow.correction","申请被拒后如何处理","这项设置决定被拒申请会结束，还是退回让申请人更正后再提交。","连同意见退回申请人；更正后再交回同一位审批人。","它控制申请被拒后的状态及下一个处理路径。","approved","","","","",""
"concept","copilot.collaboration.policy","1.0","en","fnv1a64:4a149e693daab18d","request_collaboration_policy","controls.contributors | controls.correction_check","Help from other colleagues","This controls whether another colleague may provide files and whether corrected files need a separate check.","Procurement may upload the quotation, and the Procurement Manager checks any replacement.","It decides who may contribute documents and whether the request must pause for confirmation.","approved","","","","",""
"concept","copilot.collaboration.policy","1.0","zh-Hant","fnv1a64:4a149e693daab18d","request_collaboration_policy","controls.contributors | controls.correction_check","其他同事協助","這項設定控制其他同事可否提供檔案，以及更正檔案是否需要另行檢查。","採購部可上載報價單；如有替換檔案，則由採購經理核對。","它決定誰可協助提供文件，以及申請是否須暫停等候確認。","approved","","","","",""
"concept","copilot.collaboration.policy","1.0","zh-Hans","fnv1a64:4a149e693daab18d","request_collaboration_policy","controls.contributors | controls.correction_check","其他员工协助","这项设置控制其他员工能否提供文件，以及更正文件是否需要另行检查。","采购部门可上传报价单；如有替换文件，则由采购经理核对。","它决定谁可协助提供文档，以及申请是否须暂停等待确认。","approved","","","","",""
"concept","copilot.timing.rules","1.0","en","fnv1a64:4a149e693daab18d","due_reminder_overdue_rules","sets.due_time | sets.reminder | sets.overdue_action","Reply times and overdue actions","This states how long each person has, when to remind them, and what to do if no reply arrives.","Allow two working days, remind after one day, then notify the person’s manager when overdue.","It controls due dates, reminders, and the action taken after the time limit passes.","approved","","","","",""
"concept","copilot.timing.rules","1.0","zh-Hant","fnv1a64:4a149e693daab18d","due_reminder_overdue_rules","sets.due_time | sets.reminder | sets.overdue_action","回覆期限及逾期處理","這項設定說明每位處理人有多少時間、何時提醒，以及未有回覆時如何處理。","限期為兩個工作天；一天後提醒；逾期後通知其經理。","它控制截止時間、提醒及超過期限後採取的行動。","approved","","","","",""
"concept","copilot.timing.rules","1.0","zh-Hans","fnv1a64:4a149e693daab18d","due_reminder_overdue_rules","sets.due_time | sets.reminder | sets.overdue_action","回复期限及逾期处理","这项设置说明每位处理人有多少时间、何时提醒，以及没有回复时如何处理。","期限为两个工作日；一天后提醒；逾期后通知其经理。","它控制截止时间、提醒及超过期限后采取的行动。","approved","","","","",""
"concept","copilot.visibility.policy","1.0","en","fnv1a64:4a149e693daab18d","request_visibility_policy","controls.who_can_view | does_not_assign.action","Who may view the request","This lists the people or groups allowed to see the request, its documents, and its progress.","The requester, current reviewer, Finance team, and workflow owner may view it.","It controls visibility only; viewing permission does not give someone approval authority.","approved","","","","",""
"concept","copilot.visibility.policy","1.0","zh-Hant","fnv1a64:4a149e693daab18d","request_visibility_policy","controls.who_can_view | does_not_assign.action","誰可查看申請","這項設定列出可查看申請、文件及進度的人士或小組。","申請人、目前審批人、財務團隊及流程負責部門可以查看。","它只控制查看權限；可以查看並不代表有權審批。","approved","","","","",""
"concept","copilot.visibility.policy","1.0","zh-Hans","fnv1a64:4a149e693daab18d","request_visibility_policy","controls.who_can_view | does_not_assign.action","谁可查看申请","这项设置列出可查看申请、文档和进度的人员或小组。","申请人、当前审批人、财务团队和流程负责部门可以查看。","它只控制查看权限；可以查看并不代表有权审批。","approved","","","","",""
"concept","copilot.notifications.rules","1.0","en","fnv1a64:4a149e693daab18d","workflow_notification_rules","selects.event | selects.recipient | selects.channel","Messages sent by the workflow","Each notification says what event sends a message, who receives it, and where it is delivered.","When a request is returned for changes, email the requester and show an in-app message.","It controls communication only; a notification does not approve, reject, or reroute a request.","approved","","","","",""
"concept","copilot.notifications.rules","1.0","zh-Hant","fnv1a64:4a149e693daab18d","workflow_notification_rules","selects.event | selects.recipient | selects.channel","流程發出的通知","每項通知會說明哪個事件觸發訊息、誰會收到，以及經哪個渠道發送。","申請被退回更正時，以電郵及應用程式內訊息通知申請人。","它只控制溝通；通知本身不會批准、拒絕或改變申請路徑。","approved","","","","",""
"concept","copilot.notifications.rules","1.0","zh-Hans","fnv1a64:4a149e693daab18d","workflow_notification_rules","selects.event | selects.recipient | selects.channel","流程发出的通知","每项通知会说明哪个事件触发消息、谁会收到，以及通过哪个渠道发送。","申请被退回更正时，以电子邮件及应用内消息通知申请人。","它只控制沟通；通知本身不会批准、拒绝或改变申请路径。","approved","","","","",""
"concept","copilot.governance.owner","1.0","en","fnv1a64:4a149e693daab18d","workflow_business_owner","identifies.business_owner | owns.change_decisions","Department responsible for the workflow","This is the business department accountable for keeping the workflow correct and deciding when it should change.","Procurement owns the supplier onboarding workflow.","It identifies the accountable business owner; it does not automatically assign every approval to that department.","approved","","","","",""
"concept","copilot.governance.owner","1.0","zh-Hant","fnv1a64:4a149e693daab18d","workflow_business_owner","identifies.business_owner | owns.change_decisions","流程負責部門","這是負責確保流程正確，並決定何時需要修改的業務部門。","供應商登記流程由採購部負責。","它列出須承擔責任的業務部門，但不會自動把每項審批交給該部門。","approved","","","","",""
"concept","copilot.governance.owner","1.0","zh-Hans","fnv1a64:4a149e693daab18d","workflow_business_owner","identifies.business_owner | owns.change_decisions","流程负责部门","这是负责确保流程正确，并决定何时需要修改的业务部门。","供应商登记流程由采购部门负责。","它列出须承担责任的业务部门，但不会自动把每项审批交给该部门。","approved","","","","",""
"concept","copilot.governance.policies","1.0","en","fnv1a64:4a149e693daab18d","workflow_governance_policies","identifies.change_reviewer | identifies.applicable_policies","company policies","This records who checks workflow changes and which company policies the workflow must follow.","Finance Control reviews changes; the Purchasing Policy and HK$50,000 spending rule apply.","It provides governance evidence and review requirements without replacing the approval stages.","approved","","","","",""
"concept","copilot.governance.policies","1.0","zh-Hant","fnv1a64:4a149e693daab18d","workflow_governance_policies","identifies.change_reviewer | identifies.applicable_policies","審閱責任及公司政策","這項資料記錄由誰檢查流程更改，以及流程必須遵從哪些公司政策。","由財務監控組審閱更改，並須遵從採購政策及 HK$50,000 開支規則。","它提供管治及審閱依據，但不會取代流程內的審批步驟。","approved","","","","",""
"concept","copilot.governance.policies","1.0","zh-Hans","fnv1a64:4a149e693daab18d","workflow_governance_policies","identifies.change_reviewer | identifies.applicable_policies","审核责任及公司政策","这项信息记录由谁检查流程更改，以及流程必须遵守哪些公司政策。","由财务监控组审核更改，并须遵守采购政策及 HK$50,000 支出规则。","它提供治理及审核依据，但不会取代流程内的审批步骤。","approved","","","","",""
"concept","copilot.governance.retention","1.0","en","fnv1a64:4a149e693daab18d","workflow_record_retention","sets.retention_period | covers.records_and_files","How long records are kept","This states how long completed requests, decisions, and attached files must remain available.","Keep the request, approval history, and attachments for seven years.","It controls the retention requirement used by records management and audit processes.","approved","","","","",""
"concept","copilot.governance.retention","1.0","zh-Hant","fnv1a64:4a149e693daab18d","workflow_record_retention","sets.retention_period | covers.records_and_files","記錄保留期","這項設定說明已完成申請、審批決定及附件須保留多久。","申請、審批記錄及附件保留七年。","它控制記錄管理及審計程序所使用的保留要求。","approved","","","","",""
"concept","copilot.governance.retention","1.0","zh-Hans","fnv1a64:4a149e693daab18d","workflow_record_retention","sets.retention_period | covers.records_and_files","记录保留期","这项设置说明已完成申请、审批决定和附件须保留多久。","申请、审批记录和附件保留七年。","它控制记录管理及审计程序所使用的保留要求。","approved","","","","",""
"question","v2.workflow.name.name","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.name.name","workflow.name | short_text | v2.fact.workflow.name.v1","What should we call this approval workflow?","Use a short name people will recognise, such as ‘Supplier payment request’.","","","approved","","","","",""
"question","v2.workflow.name.name","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.workflow.name.name","workflow.name | short_text | v2.fact.workflow.name.v1","這個審批流程應叫甚麼名稱？","請用同事一看便明白的簡短名稱，例如「供應商付款申請」。","","","approved","","","","",""
"question","v2.workflow.name.name","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.workflow.name.name","workflow.name | short_text | v2.fact.workflow.name.v1","这个审批流程应叫什么名称？","请用同事一看就明白的简短名称，例如“供应商付款申请”。","","","approved","","","","",""
"question","v2.workflow.purpose.purpose","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.purpose.purpose","workflow.purpose | long_text | v2.fact.workflow.purpose.v1","What job should this workflow help people complete?","Describe the business job, not the software. For example: approve supplier payments before Finance pays them.","","","approved","","","","",""
"question","v2.workflow.purpose.purpose","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.workflow.purpose.purpose","workflow.purpose | long_text | v2.fact.workflow.purpose.v1","此流程要協助完成甚麼工作？","請描述業務工作，而不是軟件功能。例如：財務付款前先審批供應商付款。","","","approved","","","","",""
"question","v2.workflow.purpose.purpose","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.workflow.purpose.purpose","workflow.purpose | long_text | v2.fact.workflow.purpose.v1","此流程要协助完成什么工作？","请描述业务工作，而不是软件功能。例如：财务付款前先审批供应商付款。","","","approved","","","","",""
"question","v2.workflow.scope.included","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.scope.included","workflow.scope | long_text | v2.fact.workflow.scope.v1","What requests belong in this workflow?","Say which requests belong here. Name a familiar request type so people know when to use this workflow.","Supplier invoice requests.","","approved","","","","",""
"question","v2.workflow.scope.included","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.workflow.scope.included","workflow.scope | long_text | v2.fact.workflow.scope.v1","哪些申請應使用此流程？","請說明哪些申請屬於此流程。列出熟悉的申請種類，讓同事知道何時使用。","供應商發票申請。","","approved","","","","",""
"question","v2.workflow.scope.included","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.workflow.scope.included","workflow.scope | long_text | v2.fact.workflow.scope.v1","哪些申请应使用此流程？","请说明哪些申请属于此流程。列出熟悉的申请种类，让同事知道何时使用。","供应商发票申请。","","approved","","","","",""
"question","v2.workflow.scope.excluded","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.scope.excluded","workflow.scope | long_text | v2.fact.workflow.scope.v1","What requests should not use this workflow?","List similar requests that should use another process. This prevents people from choosing the wrong workflow.","Staff expense claims.","","approved","","","","",""
"question","v2.workflow.scope.excluded","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.workflow.scope.excluded","workflow.scope | long_text | v2.fact.workflow.scope.v1","哪些申請不應使用此流程？","列出看似相近但應使用其他流程的申請，避免同事選錯流程。","員工報銷申請。","","approved","","","","",""
"question","v2.workflow.scope.excluded","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.workflow.scope.excluded","workflow.scope | long_text | v2.fact.workflow.scope.v1","哪些申请不应使用此流程？","列出看似相近但应使用其他流程的申请，避免同事选错流程。","员工报销申请。","","approved","","","","",""
"question","v2.request.initiator_policy.who_can_start","v2.2","en","fnv1a64:df415823535ac40f","decision.request.initiator_policy.who_can_start","request.initiator_policy | choice | v2.fact.request.initiator_policy.v1","Who may start a request?","Choose whether every employee may submit this request, or only people in named job roles.","","any_employee: Any employee | selected_roles: Selected roles","approved","","","","",""
"question","v2.request.initiator_policy.who_can_start","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.request.initiator_policy.who_can_start","request.initiator_policy | choice | v2.fact.request.initiator_policy.v1","誰可以發起申請？","請選擇所有員工都可提交，還是只有指定職位的同事可提交。","","any_employee: 任何員工 | selected_roles: 指定職位","approved","","","","",""
"question","v2.request.initiator_policy.who_can_start","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.request.initiator_policy.who_can_start","request.initiator_policy | choice | v2.fact.request.initiator_policy.v1","谁可以发起申请？","请选择所有员工都可提交，还是只有指定职位的同事可提交。","","any_employee: 任何员工 | selected_roles: 指定职位","approved","","","","",""
"question","v2.request.initiator_policy.initiator_roles","v2.2","en","fnv1a64:df415823535ac40f","decision.request.initiator_policy.initiator_roles","request.initiator_policy | short_text | v2.fact.request.initiator_policy.v1","Which job roles may start a request?","List the job roles that may start a request, for example ‘Procurement Manager’ or ‘Finance Officer’.","Procurement Manager and Finance Officer.","","approved","","","","",""
"question","v2.request.initiator_policy.initiator_roles","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.request.initiator_policy.initiator_roles","request.initiator_policy | short_text | v2.fact.request.initiator_policy.v1","哪些職位可以發起申請？","列出可發起申請的職位，例如「採購經理」或「財務主任」。","採購經理及財務主任。","","approved","","","","",""
"question","v2.request.initiator_policy.initiator_roles","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.request.initiator_policy.initiator_roles","request.initiator_policy | short_text | v2.fact.request.initiator_policy.v1","哪些职位可以发起申请？","列出可发起申请的职位，例如“采购经理”或“财务专员”。","采购经理和财务专员。","","approved","","","","",""
"question","v2.request.fields.first_required_field","v2.2","en","fnv1a64:df415823535ac40f","decision.request.fields.first_required_field","request.fields | short_text | v2.fact.request.fields.v1","What is one piece of information every request must include?","Choose one item every requester must fill in. Start with the detail that helps reviewers make a decision, such as amount or supplier name.","Invoice amount.","","approved","","","","",""
"question","v2.request.fields.first_required_field","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.request.fields.first_required_field","request.fields | short_text | v2.fact.request.fields.v1","每個申請必須提供的一項資料是甚麼？","選擇每位申請人都必須填寫的一項資料。先填有助審批人決定的資料，例如金額或供應商名稱。","發票金額。","","approved","","","","",""
"question","v2.request.fields.first_required_field","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.request.fields.first_required_field","request.fields | short_text | v2.fact.request.fields.v1","每个申请必须提供的一项资料是什么？","选择每位申请人都必须填写的一项资料。先填有助审批人决定的资料，例如金额或供应商名称。","发票金额。","","approved","","","","",""
"question","v2.attachments.requirements.needed","v2.2","en","fnv1a64:df415823535ac40f","decision.attachments.requirements.needed","attachments.requirements | choice | v2.fact.attachments.requirements.v1","Does every request need a file or an in-app form?","Choose Yes when a file is needed for every request. For example, a quotation, invoice, or signed form.","","yes: Yes | no: No","approved","","","","",""
"question","v2.attachments.requirements.needed","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.attachments.requirements.needed","attachments.requirements | choice | v2.fact.attachments.requirements.v1","每個申請是否都需要檔案或應用程式內表格？","若每份申請都需要檔案，請選「是」，例如報價單、發票或已簽署表格。","","yes: 是 | no: 否","approved","","","","",""
"question","v2.attachments.requirements.needed","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.attachments.requirements.needed","attachments.requirements | choice | v2.fact.attachments.requirements.v1","每个申请是否都需要文件或应用内表单？","若每份申请都需要文件，请选“是”，例如报价单、发票或已签署表格。","","yes: 是 | no: 否","approved","","","","",""
"question","v2.attachments.requirements.first_file","v2.2","en","fnv1a64:df415823535ac40f","decision.attachments.requirements.first_file","attachments.requirements | short_text | v2.fact.attachments.requirements.v1","What is one file or in-app form the requester must provide?","Name one file that every requester must attach. Be specific, for example ‘supplier quotation’ rather than ‘supporting document’.","Supplier quotation.","","approved","","","","",""
"question","v2.attachments.requirements.first_file","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.attachments.requirements.first_file","attachments.requirements | short_text | v2.fact.attachments.requirements.v1","申請人必須提供的其中一份檔案或應用程式內表格是甚麼？","請列出每位申請人都必須附上的一份檔案。請具體，例如「供應商報價單」，不要只寫「證明文件」。","供應商報價單。","","approved","","","","",""
"question","v2.attachments.requirements.first_file","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.attachments.requirements.first_file","attachments.requirements | short_text | v2.fact.attachments.requirements.v1","申请人必须提供的其中一份文件或应用内表单是什么？","请列出每位申请人都必须附上的一份文件。请具体，例如“供应商报价单”，不要只写“证明文件”。","供应商报价单。","","approved","","","","",""
"question","v2.workflow.stages.first_stage","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage","workflow.stages | short_text | v2.fact.workflow.stages.v1","What is the first step after a request is sent?","Describe one action in order, such as ‘Manager checks the request’ or ‘Finance approves payment’. Do not combine several actions in one step.","A manager checks the request.","","approved","","","","",""
"question","v2.workflow.stages.first_stage","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage","workflow.stages | short_text | v2.fact.workflow.stages.v1","申請提交後的第一步是甚麼？","按次序描述一項工作，例如「經理檢查申請」或「財務批准付款」。不要把多項工作合併成一步。","經理檢查申請。","","approved","","","","",""
"question","v2.workflow.stages.first_stage","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage","workflow.stages | short_text | v2.fact.workflow.stages.v1","申请提交后的第一步是什么？","按顺序描述一项工作，例如“经理检查申请”或“财务批准付款”。不要把多项工作合并成一步。","经理检查申请。","","approved","","","","",""
"question","v2.workflow.stages.first_stage_person_mode","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage_person_mode","workflow.stages | choice | v2.fact.workflow.stages.v1","How should we choose the person for that first step?","Choose how this step finds its person: the same email every time, a job role in the staff directory, an email entered on the request, or a person chosen later.","","fixed_email: A fixed email address | directory_role: A job role from the staff directory | request_field: An email entered in the request | assigned_later: Assigned later","approved","","","","",""
"question","v2.workflow.stages.first_stage_person_mode","v2.2","zh-Hant","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage_person_mode","workflow.stages | choice | v2.fact.workflow.stages.v1","第一步的處理人應如何決定？","選擇此步驟如何找到處理人：每次使用同一電郵、員工目錄中的職位、申請內填寫的電郵，或稍後才指派人選。","","fixed_email: 指定電郵地址 | directory_role: 員工目錄中的職位 | request_field: 申請內填寫的電郵 | assigned_later: 稍後指派","approved","","","","",""
"question","v2.workflow.stages.first_stage_person_mode","v2.2","zh-Hans","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage_person_mode","workflow.stages | choice | v2.fact.workflow.stages.v1","第一步的处理人应如何决定？","选择此步骤如何找到处理人：每次使用同一电子邮件、员工目录中的职位、申请内填写的电子邮件，或稍后才指派人选。","","fixed_email: 指定电子邮件地址 | directory_role: 员工目录中的职位 | request_field: 申请内填写的电子邮件 | assigned_later: 稍后指派","approved","","","","",""
"question","v2.workflow.stages.first_stage_person_detail","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage_person_detail","workflow.stages | short_text | v2.fact.workflow.stages.v1","Please give the email address, job role, or request field for that person.","Give the one detail needed for the option you just chose. If a person will be chosen later, this question will not appear.","","","approved","","","","",""
"question_prompt_variant","v2.workflow.stages.first_stage_person_detail#fixed_email","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage_person_mode | fixed_email","workflow.stages | resolver-specific visible prompt","What fixed email address should receive this step?","","","","approved","","","","",""
"question_prompt_variant","v2.workflow.stages.first_stage_person_detail#directory_role","v2.2","en","fnv1a64:df415823535ac40f","decision.workflow.stages.first_stage_person_mode | directory_role","workflow.stages | resolver-specific visible prompt","Which job role in the staff directory should receive this step?","","","","approved","","","","",""
